customer,st_x,gender_x,education_x,customer_lifetime_value_x,income_x,monthly_premium_auto_x,number_of_open_complaints_x,policy_type_x,vehicle_class_x,total_claim_amount_x,st_y,gender_y,education_y,customer_lifetime_value_y,income_y,monthly_premium_auto_y,number_of_open_complaints_y,total_claim_amount_y,policy_type_y,vehicle_class_y,state,customer_lifetime_value,education,gender,income,monthly_premium_auto,number_of_open_complaints,policy_type,total_claim_amount,vehicle_class
aa10041,,,,,,,,,,,,,,,,,,,,,california,7901.744238,high school or below,m,0.0,113.0,0.0,personal auto,1258.327804,suv
aa11235,,,,,,,,,,,,,,,,,,,,,nevada,2568.843396,bachelor,f,11167.0,73.0,3.0,personal auto,350.4,two-door car
aa16582,,,,,,,,,,,,,,,,,,,,,washington,24127.50402,bachelor,m,14072.0,71.0,0.0,personal auto,511.2,four-door car
aa30683,,,,,,,,,,,,,,,,,,,,,california,6595.101921,bachelor,m,0.0,105.0,2.0,personal auto,847.717402,four-door car
aa34092,,,,,,,,,,,,,,,,,,,,,california,28799.95415,college,m,33635.0,240.0,0.0,personal auto,1152.0,luxury suv
aa35519,,,,,,,,,,,,,,,,,,,,,arizona,8002.308333,college,f,0.0,107.0,0.0,personal auto,513.6,suv
aa56476,,,,,,,,,,,,,,,,,,,,,arizona,5595.389905,high school or below,f,74454.0,71.0,0.0,corporate auto,340.8,four-door car
aa69265,,,,,,,,,,,,,,,,,,,,,nevada,3964.730745,bachelor,f,60817.0,103.0,1.0,personal auto,494.4,four-door car
aa71604,arizona,f,master,1198659.21%,87560.0,98.0,1/1/00,personal auto,two-door car,470.4,,,,,,,,,,,,,,,,,,,,
aa93585,,,,,,,,,,,,,,,,,,,,,california,7083.642205,college,m,97024.0,177.0,0.0,personal auto,686.815162,suv
ab13432,california,m,bachelor,373583.81%,0.0,110.0,1/0/00,personal auto,suv,792.0,,,,,,,,,,,,,,,,,,,,
ab21519,,,,,,,,,,,california,f,college,386148.63%,93272.0,95.0,1/0/00,281.110788,personal auto,four-door car,,,,,,,,,,
ab23825,,,,,,,,,,,,,,,,,,,,,california,8888.875454,college,m,21509.0,81.0,1.0,personal auto,413.492922,two-door car
ab26022,,,,,,,,,,,,,,,,,,,,,oregon,7998.347343,high school or below,m,26487.0,112.0,0.0,corporate auto,602.431489,suv
ab45325,,,,,,,,,,,,,,,,,,,,,arizona,2577.319607,high school or below,m,74215.0,64.0,0.0,personal auto,345.180055,two-door car
ab60627,cali,m,high school or below,1546778.90%,77517.0,129.0,1/0/00,corporate auto,suv,98.921782,,,,,,,,,,,,,,,,,,,,
ab62982,,,,,,,,,,,,,,,,,,,,,oregon,5918.066128,doctor,f,77521.0,73.0,0.0,personal auto,350.4,two-door car
ab69140,,,,,,,,,,,,,,,,,,,,,california,25093.57037,master,m,36007.0,70.0,0.0,personal auto,336.0,four-door car
ab72731,california,f,bachelor,463998.16%,28358.0,117.0,1/0/00,personal auto,sports car,84.024413,,,,,,,,,,,,,,,,,,,,
ab73565,,,,,,,,,,,,,,,,,,,,,california,7725.535708,bachelor,m,96748.0,96.0,0.0,personal auto,460.8,two-door car
ab78984,,,,,,,,,,,,,,,,,,,,,oregon,11124.20636,college,m,42596.0,96.0,0.0,personal auto,42.293622,four-door car
ab96670,california,,college,239391.54%,0.0,70.0,1/0/00,personal auto,four-door car,425.266308,,,,,,,,,,,,,,,,,,,,
ab98823,,,,,,,,,,,,,,,,,,,,,arizona,6032.737631,college,m,0.0,86.0,0.0,personal auto,412.8,two-door car
ac13887,,,,,,,,,,,,,,,,,,,,,california,4628.995325,bachelor,m,0.0,67.0,0.0,corporate auto,482.4,two-door car
ac22873,,,,,,,,,,,arizona,f,high school or below,485310.03%,17120.0,125.0,1/0/00,717.285949,special auto,suv,,,,,,,,,,
ac24378,,,,,,,,,,,,,,,,,,,,,arizona,7477.176362,high school or below,f,48552.0,94.0,0.0,corporate auto,262.746281,four-door car
ac40767,washington,m,bachelors,249780.82%,68041.0,6464.0,1/0/00,personal auto,two-door car,165.570243,,,,,,,,,,,washington,2497.808174,bachelor,m,68041.0,64.0,0.0,personal auto,165.570243,two-door car
ac42963,,,,,,,,,,,,,,,,,,,,,california,21423.63723,bachelor,m,0.0,65.0,0.0,special auto,312.0,two-door car
ac58002,,,,,,,,,,,,,,,,,,,,,california,5666.867962,bachelor,f,53907.0,71.0,0.0,corporate auto,189.907577,four-door car
ac67315,,,,,,,,,,,,,,,,,,,,,nevada,13862.10016,bachelor,f,96950.0,115.0,0.0,personal auto,633.132017,sports car
ac73173,,,,,,,,,,,,,,,,,,,,,california,3694.647081,bachelor,m,0.0,102.0,0.0,personal auto,610.617285,suv
ac75391,,,,,,,,,,,arizona,f,college,576809.13%,35091.0,74.0,1/0/00,418.927204,corporate auto,two-door car,,,,,,,,,,
ac79024,,,,,,,,,,,,,,,,,,,,,nevada,5533.229132,bachelor,m,23241.0,70.0,0.0,personal auto,504.0,two-door car
ad12500,,,,,,,,,,,,,,,,,,,,,california,17822.56375,high school or below,f,42696.0,228.0,0.0,personal auto,1273.741085,luxury car
